section_name	web_url	pub_date	snippet
World	https://www.nytimes.com/2017/07/10/world/europe/uk-grenfell-fire-death-toll.html	2017-07-10T18:21:06+0000	The London police say that around 80 people died in the June 14 disaster, but several volunteer researchers believe the toll could be higher....
World	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-israel-mideast-train.html	2017-07-10T18:18:57+0000	A senior Israeli Cabinet minister is pushing a plan to build a region-wide train network that he says could link Israel and the Palestinians to much of the Arab world....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-usa-trump-russia.html	2017-07-10T18:15:30+0000	Donald Trump Jr. has hired a lawyer to represent him in Russia-related investigations, his office and the lawyer said on Monday, as Republicans voiced concern about a meeting between the U.S. president's son and a Russian....
World	https://www.nytimes.com/2017/07/10/world/middleeast/iraq-mosul-celebration.html	2017-07-10T18:12:50+0000	As the battle with the Islamic State in Mosul nears an end, other conflicts on the margins are flaring and a threat to the Iraqi state and society remains....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-eu-google-lawyers.html	2017-07-10T18:12:36+0000	Google has ramped up its legal firepower as it prepares to do battle with EU antitrust regulators after a landmark 2.4-billion-euro ($2.7 billion) fine and the possibility of a second record sanction before the end of the year....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-russia-venezuela.html	2017-07-10T18:12:28+0000	Russian President Vladimir Putin and his Venezuelan counterpart Nicolas Maduro discussed by telephone cooperation between the two countries, including implementation of projects in the energy sector, the Kremlin said in a statement on Monday....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-cyprus-conflict-anastasiades.html	2017-07-10T18:09:30+0000	President of Cyprus Nicos Anastasiades said on Monday he remained ready to negotiate a peace deal with estranged Turkish Cypriots and Turkey, after U.N.-backed talks ended in acrimony last week....
World	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-bahrain-rights.html	2017-07-10T18:06:27+0000	A Bahrain court sentenced rights campaigner Nabeel Rajab to two years in jail on Monday, supporters said, for allegedly making &#8220;false or malicious&#8221; statements about Bahraini authorities....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-emirates-angola.html	2017-07-10T18:03:45+0000	Emirates [EMIRA.UL] airline has scaled back its five weekly flights to the Angolan capital Luanda to three due to the difficulty of repatriating revenue earned in the country, the president of the Middle East's largest airline said....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-ukraine-crisis-crimea-power-russia.html	2017-07-10T18:03:33+0000	Russian Energy Minister Alexander Novak said on Monday that construction of two power plants in Crimea would go ahead....
World	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-iraq-mosul-war-by-the-numbers.html	2017-07-10T18:01:02+0000	Here are some statistics that illustrate the scope of the fight that wrested the northern Iraqi city of Mosul from the Islamic State group and the legacy of the wider war against the militants....
World	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-islamic-state-news-guide.html	2017-07-10T18:00:59+0000	Iraq's announcement of victory in Mosul effectively shatters the Islamic State group's self-styled caliphate. But a complete territorial defeat will take many more months, and the extremists will likely pose a threat in Iraq, Syria and beyond for ...
World	https://www.nytimes.com/aponline/2017/07/10/world/europe/ap-eu-cyprus-peace-talks.html	2017-07-10T18:00:57+0000	Drilling off ethnically divided Cyprus in search of oil and gas will go ahead as scheduled following the collapse of reunification talks despite strong objections voiced by Turkey, the island's president said Monday....
Business Day	https://www.nytimes.com/2017/07/10/business/dealbook/class-action-lawsuits-finance-banks.html	2017-07-10T17:58:45+0000	The Consumer Financial Protection Bureau is adopting a rule that would block banks and credit card companies from forcing customers into arbitration....
Business Day	https://www.nytimes.com/aponline/2017/07/10/business/ap-us-wells-fargo-settlement.html	2017-07-10T17:57:56+0000	Wells Fargo has received preliminary approval to pay out $142 million to customers affected by the bank's sales practices scandal....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-saudi-aramco-industry.html	2017-07-10T17:48:32+0000	Saudi Aramco received &lt;IPO-ARMO.SE&gt; the approval of the Saudi government to set up two new companies that will develop and operate a new Energy Industrial City in Saudi Arabia, as the kingdom seeks to expand its industrial base, state news a...
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-apache-investors.html	2017-07-10T17:48:29+0000	Apache Corp could be worth double its current stock price, some investors say, as strong management and sizeable assets have gotten a number of fund managers to place big bets on the Houston-based oil and gas producer, Barron's reported on Sunday....
World	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-mideast-crisis-iraq-usa.html	2017-07-10T17:42:31+0000	The U.S.-led coalition backing Iraqi forces against Islamic State on Monday warned that victory against the ultra-hardline group in Mosul did not mark the end of its global threat and urged Iraqis to unite to defeat the militants....
Business Day	https://www.nytimes.com/2017/07/10/business/dealbook/digital-privacy-supreme-court.html	2017-07-10T17:41:09+0000	Two cases — one involving cell site location and the other emails — may determine how digital information fits under Fourth Amendment protections....
World	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-iraq-mosul-5-things-to-know.html	2017-07-10T17:39:56+0000	Iraq's prime minister declared victory over the Islamic State group in Mosul after more than eight months of some of the toughest fighting Iraqi forces have faced in the more than 3-year-old war against the extremists....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-autos-honda.html	2017-07-10T17:36:32+0000	Honda Motor Co said on Monday it had confirmed an 11th U.S. death involving one of its vehicles tied to a faulty Takata Corp air bag inflator....
World	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-mosul-timeline.html	2017-07-10T17:34:04+0000	A timeline of events in the rise and fall of the Islamic State group in Iraq and Mosul....
World	https://www.nytimes.com/aponline/2017/07/10/world/asia/ap-as-rel-kashmir-pilgrims-attacked.html	2017-07-10T17:30:56+0000	Gunmen sprayed bullets on a passenger bus bringing Hindu pilgrims back from a cave shrine in Indian-controlled Kashmir on Monday, killing at least seven of them, including five women, and wounding 14 others, police said....
World	https://www.nytimes.com/aponline/2017/07/10/world/europe/ap-eu-britain-sick-baby-glance.html	2017-07-10T17:25:11+0000	Charlie Gard is a terminally ill British child whose parents are fighting for the right to take him to the United States for an experimental treatment. His case has gained international attention, including from Pope Francis and U.S. President Don...
World	https://www.nytimes.com/reuters/2017/07/10/world/americas/10reuters-peru-ecuador.html	2017-07-10T17:18:29+0000	Peru has recalled its ambassador to Ecuador after Quito refused to stop building a wall along a canal separating the two, Peru's Foreign Affairs Ministry said on Monday as both countries expressed concern over flood risks....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-fiatchrysler-emissions.html	2017-07-10T17:15:32+0000	A U.S. judge overseeing lawsuits against Fiat Chrysler Automobiles NV over its alleged excess diesel emissions said he intends to name well-known compensation expert Ken Feinberg to try to reach a settlement....
World	https://www.nytimes.com/2017/07/10/world/middleeast/syria-truce-jordan-golan-trump-russia-united-nations.html	2017-07-10T17:13:46+0000	The cease-fire, near the Syria border with Jordan and the Israeli-occupied Golan Heights, was holding 24 hours after it took effect Sunday....
World	https://www.nytimes.com/reuters/2017/07/10/world/asia/10reuters-northkorea-missile-un.html	2017-07-10T17:12:30+0000	United States Ambassador to the United Nations Nikki Haley aims to put to a vote within weeks a U.N. Security Council resolution to impose stronger sanctions on North Korea over its long-range ballistic missile test, said several senior U.N. diplo...
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-usa-baltics-patriot.html	2017-07-10T17:06:33+0000	The United States deployed a battery of Patriot long-range anti-aircraft missiles in Lithuania to be used in NATO wargames from Tuesday - the first time the advanced defense system has been brought to the Baltics where Russia has air superiority....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-nissan-sales.html	2017-07-10T17:06:32+0000	Nissan Motor Co (7201.T) expects that zero-emission cars will make up to 20 percent of its sales in Europe by 2020, Gareth Dunsmore, Electric Vehicle (EV) Director for Nissan Europe said in a statement on Monday....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-ryanair-ukraine.html	2017-07-10T17:03:35+0000	Irish low-cost airline Ryanair has canceled plans to start flying to Ukraine, saying on Monday that the main airport in Kiev had not honored terms agreed earlier this year....
Business Day	https://www.nytimes.com/2017/07/10/business/energy-environment/siemens-russia-crimea-turbines.html	2017-07-10T16:58:05+0000	The incident threatens to strain relations between the two countries and demonstrates how energy has become a weapon in Russia’s struggle with Ukraine....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-nazi-art-madrid.html	2017-07-10T16:57:33+0000	A federal appeals court on Monday revived a lawsuit seeking to force a Madrid museum to return an Impressionist masterpiece to the family of a Jewish woman who was compelled to sell it to a Nazi art appraiser for $360 in 1939 so she could flee Ger...
World	https://www.nytimes.com/reuters/2017/07/10/world/asia/10reuters-india-kashmir.html	2017-07-10T16:57:30+0000	Six Hindu pilgrims, most of them women, were killed in a gunbattle that erupted in Indian Kashmir on Monday following two of militant attacks on police....
World	https://www.nytimes.com/reuters/2017/07/10/world/africa/10reuters-mali-security.html	2017-07-10T16:42:27+0000	About 10 Malian soldiers were missing following an ambush by suspected Islamist militants in the West African nation's desert north, the army said on Monday....
World	https://www.nytimes.com/aponline/2017/07/10/world/americas/ap-un-united-nations-colombia.html	2017-07-10T16:31:14+0000	The Security Council unanimously approved a resolution Monday authorizing a new U.N. political mission in Colombia to focus on reintegrating leftist rebels into society after more than 50 years of war &#8212; a task the United Nations calls the mo...
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-lme-precious-launch.html	2017-07-10T16:30:35+0000	More than two tonnes of gold were traded through the London Metal Exchange's new LMEprecious spot contract by late afternoon on its first day as the exchange began its bid to take a slice of the world's biggest over-the-counter (OTC) gold market....
